taxon,lineage,probability,pangoLEARN_version,status,note
hCoV-19/USA/WI-UW-973/2020|EPI_ISL_509971|2020-07-17,B.1.2,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-852/2020|EPI_ISL_509858|2020-07-08,B.1.139,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-870/2020|EPI_ISL_509872|2020-07-08,B.1.139,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-847/2020|EPI_ISL_509853|2020-07-08,B.1.139,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-927/2020|EPI_ISL_509927|2020-07-13,B.1.139,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-878/2020|EPI_ISL_509880|2020-07-13,B.1.369,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-886/2020|EPI_ISL_509888|2020-07-13,B.1.162,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-880/2020|EPI_ISL_509882|2020-07-13,B.1.139,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-894/2020|EPI_ISL_509896|2020-07-13,B.1.1,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-895/2020|EPI_ISL_509897|2020-07-13,B.1.369,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-876/2020|EPI_ISL_509878|2020-07-13,B.1.369,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-931/2020|EPI_ISL_509931|2020-07-13,B.1.369,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-898/2020|EPI_ISL_509900|2020-07-15,B.1.139,1.0,2021-01-06,passed_qc,
hCoV-19/USA/WI-UW-883/2020|EPI_ISL_509885|2020-07-15,B.1,1.0,2021-01-06,passed_qc,
